time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1773322286.46464467,0.01312131,6262,0.00040861,0.00000000,0,0.00000000,11169,11208,84,0.00096724
1773322286.56446671,0.01330146,6261,0.00036057,0.00000000,0,0.00000000,11208,11180,81,0.00300237
1773322286.66445661,0.02794723,6297,0.00061601,0.00000000,0,0.00000000,11180,11201,94,0.00084096
1773322286.76453948,0.01722651,6272,0.00074137,0.00000000,0,0.00000000,11201,11224,103,0.00102750
1773322286.86439657,0.02084126,6245,0.00048902,0.00000000,0,0.00000000,11224,11260,78,0.00093510
1773322286.96426010,0.01722219,6287,0.00040438,0.00000000,0,0.00000000,11260,11287,97,0.00083760
1773322287.06573820,0.01690398,6264,0.00054000,0.00000000,0,0.00000000,11287,11316,100,0.00304088
1773322287.16550064,0.01366276,6224,0.00036024,0.00000000,0,0.00000000,11316,11364,102,0.00173135
1773322287.26530385,0.02098754,6301,0.00053502,0.00000000,0,0.00000000,11364,11388,100,0.00142528
1773322287.36535883,0.02089610,6234,0.00055019,0.00000000,0,0.00000000,11388,11383,75,0.00118452
1773322287.46522117,0.06533074,6274,0.00062648,0.00000000,0,0.00000000,11383,11408,91,0.00201708
1773322287.56508923,0.02554644,6280,0.00037969,0.00000000,0,0.00000000,11408,11447,74,0.00103072
1773322287.66509867,0.02118017,6267,0.00044922,0.00000000,0,0.00000000,11447,11444,90,0.00128123
1773322287.76504135,0.02868358,6214,0.00075801,0.00000000,0,0.00000000,11444,11460,78,0.00396963
1773322287.86470819,0.01738765,6272,0.00077290,0.00000000,0,0.00000000,11460,11427,84,0.00230927
1773322287.96459723,0.02958027,6236,0.00068485,0.00000000,0,0.00000000,11427,11469,96,0.00146714
1773322288.06446457,0.02753246,6301,0.00065798,0.00000000,0,0.00000000,11469,11478,80,0.00314781
1773322288.16458964,0.02433781,6253,0.00062987,0.00000000,0,0.00000000,11478,11479,95,0.00131572
1773322288.26446438,0.01810612,6265,0.00049434,0.00000000,0,0.00000000,11479,11513,87,0.00601031
1773322288.36486053,0.02170074,6224,0.00041499,0.00000000,0,0.00000000,11513,11512,74,0.00492609
1773322288.46483326,0.02195977,6305,0.00046064,0.00000000,0,0.00000000,11512,11516,76,0.00151124
1773322288.56581092,0.01872131,6257,0.00036649,0.00000000,0,0.00000000,11516,11583,84,0.00110309
1773322288.66572618,0.01489977,6286,0.00077240,0.00000000,0,0.00000000,11583,11435,75,0.00088740
1773322288.76575613,0.01399450,6242,0.00039167,0.00000000,0,0.00000000,11435,11423,62,0.00346931
1773322288.86542940,0.01312829,6286,0.00041879,0.00000000,0,0.00000000,11423,11463,70,0.00207716
1773322288.96554804,0.01616035,6236,0.00051094,0.00000000,0,0.00000000,11463,11486,60,0.00235346
1773322289.06546044,0.03066521,6224,0.00086427,0.00000000,0,0.00000000,11486,11518,78,0.00289349
1773322289.16534305,0.02808737,6264,0.00089362,0.00000000,0,0.00000000,11518,11534,78,0.00252362
1773322289.26514816,0.03510468,6251,0.00108079,0.00000000,0,0.00000000,11534,11480,77,0.00127003
1773322289.36515021,0.03009457,6235,0.00117093,0.00000000,0,0.00000000,11480,11503,79,0.00103930
1773322289.46500087,0.01684061,6264,0.00058766,0.00000000,0,0.00000000,11503,11508,72,0.00269338
1773322289.56495786,0.01799201,6265,0.00111333,0.00000000,0,0.00000000,11508,11478,76,0.00193972
1773322289.66485143,0.01601924,6224,0.00037438,0.00000000,0,0.00000000,11478,11499,73,0.00209018
1773322289.76464915,0.01966324,6258,0.00093015,0.00000000,0,0.00000000,11499,11532,71,0.00338077
1773322289.86452127,0.02583849,6274,0.00123854,0.00000000,0,0.00000000,11532,11499,76,0.00171169
1773322289.96440506,0.02090319,6292,0.00046679,0.00000000,0,0.00000000,11499,11530,83,0.00204328
1773322290.06461191,0.02364610,6253,0.00055482,0.00000000,0,0.00000000,11530,11567,86,0.00106862
1773322290.16500688,0.02238265,6267,0.00048512,0.00000000,0,0.00000000,11567,11590,101,0.00101179
1773322290.26458359,0.02497989,6252,0.00069801,0.00000000,0,0.00000000,11590,11621,83,0.00120106
1773322290.36440730,0.01162924,6303,0.00046207,0.00000000,0,0.00000000,11621,11638,82,0.00154555
1773322290.46551585,0.01256078,6254,0.00056185,0.00000000,0,0.00000000,11638,11665,100,0.00137108
1773322290.56546259,0.01024050,6252,0.00025987,0.00000000,0,0.00000000,11665,11694,80,0.00341089
1773322290.66543746,0.03010317,6291,0.00078584,0.00000000,0,0.00000000,11694,11732,91,0.00258224
1773322290.76556420,0.01682827,6200,0.00058587,0.00000000,0,0.00000000,11732,11767,79,0.00091196
1773322290.86529064,0.01396741,6270,0.00058402,0.00000000,0,0.00000000,11767,11706,90,0.00097009
1773322290.96532369,0.01785116,6210,0.00040894,0.00000000,0,0.00000000,11706,11710,82,0.00079503
1773322291.06514001,0.01785320,6282,0.00043471,0.00000000,0,0.00000000,11710,11712,78,0.00229127
1773322291.16513371,0.01310717,6265,0.00047443,0.00000000,0,0.00000000,11712,11711,79,0.00125557
1773322291.26509213,0.01387992,6242,0.00058500,0.00000000,0,0.00000000,11711,11636,71,0.00113438
1773322291.36495113,0.01368887,6249,0.00041578,0.00000000,0,0.00000000,11636,11653,70,0.00425348
1773322291.46466565,0.01659953,6291,0.00091111,0.00000000,0,0.00000000,11653,11681,75,0.00272453
1773322291.56473875,0.02289506,6269,0.00071721,0.00000000,0,0.00000000,11681,11713,65,0.00169638
1773322291.66460586,0.01929438,6265,0.00033378,0.00000000,0,0.00000000,11713,11719,61,0.00086735
1773322291.76454639,0.01717312,6287,0.00037456,0.00000000,0,0.00000000,11719,11760,73,0.00085353
1773322291.86446428,0.01306057,6217,0.00024532,0.00000000,0,0.00000000,11760,11789,66,0.00105315
1773322291.96435547,0.03063698,6299,0.00081770,0.00000000,0,0.00000000,11789,11805,90,0.00286706
1773322292.06446362,0.02887368,6248,0.00057007,0.00000000,0,0.00000000,11805,11800,64,0.00308005
1773322292.16443419,0.01283880,6278,0.00027328,0.00000000,0,0.00000000,11800,11811,64,0.00078701
1773322292.26467109,0.02921085,6311,0.00049566,0.00000000,0,0.00000000,11811,11779,68,0.00205376
1773322292.36572194,0.01705312,6253,0.00052530,0.00000000,0,0.00000000,11779,11759,66,0.00277823
1773322292.46559215,0.02873634,6256,0.00117034,0.00000000,0,0.00000000,11759,11699,88,0.00188685
1773322292.56556273,0.02460230,6241,0.00045920,0.00000000,0,0.00000000,11699,11757,65,0.00089414
1773322292.66545010,0.01945969,6248,0.00084491,0.00000000,0,0.00000000,11757,11627,61,0.00222955
1773322292.76543522,0.02022873,6302,0.00065624,0.00000000,0,0.00000000,11627,11657,70,0.00096936
1773322292.86549044,0.01512195,6248,0.00076986,0.00000000,0,0.00000000,11657,11688,58,0.00170185
1773322292.96546149,0.01861189,6211,0.00033796,0.00000000,0,0.00000000,11688,11699,61,0.00195016
1773322293.06521297,0.01882706,6279,0.00030981,0.00000000,0,0.00000000,11699,11712,70,0.00187286
1773322293.16502166,0.01667659,6286,0.00037754,0.00000000,0,0.00000000,11712,11744,66,0.00231023
1773322293.26513743,0.01652530,6228,0.00031325,0.00000000,0,0.00000000,11744,11765,66,0.00110773
1773322293.36495686,0.02128717,6237,0.00053154,0.00000000,0,0.00000000,11765,11756,65,0.00104719
1773322293.46496296,0.02695632,6227,0.00077078,0.00000000,0,0.00000000,11756,11793,61,0.00108952
1773322293.56486201,0.01018618,6267,0.00023065,0.00000000,0,0.00000000,11793,11830,61,0.00086942
1773322293.66478348,0.01933893,6240,0.00041660,0.00000000,0,0.00000000,11830,11850,55,0.00105567
1773322293.76454139,0.01002454,6258,0.00030941,0.00000000,0,0.00000000,11850,11874,65,0.00210927
1773322293.86442876,0.02950853,6259,0.00050385,0.00000000,0,0.00000000,11874,11894,57,0.00224284
1773322293.96440005,0.01488615,6289,0.00042841,0.00000000,0,0.00000000,11894,11895,58,0.00217116
